Name,Address,Picture,Summary,
Colador Cafe,"1000 Bedford Ave, Brooklyn, NY 11205",https://s3-media0.fl.yelpcdn.com/bphoto/JBifrPQmkS1PRsKdp-BoYQ/o.jpg,"Are you hungry in Brooklyn? Welcome to Colador Cafe, where you can find great Sandwiches food available for delivery or takeout. Check out our online menu and place an order from our site. Don’t want to order now? Visit us at 1000 Bedford Ave.",
Kleinberg’s," 165 Tompkins Ave, Brooklyn, NY 11206",https://s3-media0.fl.yelpcdn.com/bphoto/Pw2cCmNDlkEJGlbv6LxYCA/o.jpg,"""A neighborhood joint with local Brooklyn fare. Restaurant & Greenhouse & Bar.""",
Building on Bond,"112 Bond St, Brooklyn, NY 11217",https://s3-media0.fl.yelpcdn.com/bphoto/nhIBOTibT3EVnImXePRPmQ/o.jpg,"Eclectically decorated with animal skulls and LPs, the neighborhood hang serves a cozy café menu.",
Regular Visitors,"149 Smith St, Brooklyn, NY 11201",https://s3-media0.fl.yelpcdn.com/bphoto/5T-MQLSV3Tha4uU-eFsJuw/o.jpg,"Regular Visitors is a corner store with homewares, a newsstand, a coffee counter, and apothecary.  A collaboration between Neil Rasmus of Izola, and Jesse James, founder and Creative Director of Aesthetic Movement, alongside the Aesthetic Movement design team, reimagined the former bike shop into Regular Visitors. The store is located in Boerum Hill, Brooklyn, and started trading last November, 2016.",
Cranberry’s,"48 Henry St, Brooklyn, NY 11201",https://s3-media0.fl.yelpcdn.com/bphoto/2KIY78hcmBZ-9hZr8wyWAw/o.jpg,"Casual standby offering coffee, breakfast bites, sandwiches & other quick eats, plus baked goods.",
Jack The Horse Tavern,"66 Hicks St, Brooklyn, NY 11201",https://s3-media0.fl.yelpcdn.com/bphoto/dUho9dARMFXtzGrRLNayGQ/o.jpg,Oysters plus hot & cold small plates served in cozy digs next door to parent Jack the Horse Tavern.,
983 Bushwicks Living Room,"983 Flushing Ave, Brooklyn, NY 11206",https://s3-media0.fl.yelpcdn.com/bphoto/zuvCcyBnqckw4TlxaP2zmw/l.jpg,Hearty New American dishes & some Mexican & Italian eats in a cozy spot with local art on the walls. ,
The Awkward Scone,"1022 Broadway Brooklyn, NY 11221",https://s3-media0.fl.yelpcdn.com/bphoto/Q4eSsNpQuZLZDfrDXLIG1Q/l.jpg,"The Awkward Scone is a queer- and woman-owned bakery and herbal tea cafe in Brooklyn.
Specializing in housemade herbal tea blends and pastries with coffee from Stumptown Coffee, tea
from Brooklyn Tea and featuring rotating local artists",
Brooklyn Cider House,"1100 Flushing Ave

Brooklyn, NY 11237",https://s3-media0.fl.yelpcdn.com/bphoto/n6o4_3m9tUiwE7bkJqWOmw/l.jpg,"Sagardotegi meets Bushwick: Brooklyn's first cider house styled after traditional Basque Sagardotegis (cider houses) with a full-scale cidery, tasting room, bar, and restaurant. Our fully-immersive cider experience is a four-course prix-fixe menu, with cider catching directly from ancient Asturian barrels. Our bar serves our ciders as well as ciders, beer, and wine from other New York farm-based producers and offers New American pub fare all day and brunch on the weekends.",
Flowers For All Occasions,"1114 Dekalb Ave, Brooklyn, NY 11221",https://s3-media0.fl.yelpcdn.com/bphoto/nqGlO6p6vprjuFfFIzPd4w/o.jpg,"Bohemian, rustic-chic cafe/bar & art gallery with light bites, beer pitchers, cocktails & events. ",
Guadalupe Inn,"1 Knickerbocker Ave, Brooklyn, NY 11237",https://s3-media0.fl.yelpcdn.com/bphoto/yTCGaYHtH3P98x52U1xJMQ/o.jpg,"Polished spot for Mexican food, cocktails & live music.",
Kichin,"1264 Myrtle Ave, Brooklyn, NY 11221",https://s3-media0.fl.yelpcdn.com/bphoto/FuuPyiatcsIlBMocVk96Qw/l.jpg,Takeout counter-turned-full service restaurant presenting seasonally changing Korean-style tapas.,
The Skilled Archer,"313 Knickerbocker Ave, Brooklyn, NY 11237",https://s3-media0.fl.yelpcdn.com/bphoto/FR93JTScFOefr7mOAC_2qw/l.jpg,"Brand new cafe and juice bar in Bushwick, Brooklyn. Proudly serving Superlost coffee roasted right
here in Bushwick. New menu focusing on freshly prepared items for Breakfast, Brunch, and Lunch.
Kitchen open daily until 6:30pm!",
Flight 151,"151 8th Ave, New York, NY 10011",https://s3-media0.fl.yelpcdn.com/bphoto/C24WMg6cyoUn1kwAvP4JEg/o.jpg,"Neighborhood watering hole with aviation theme, drink specials, happy hour & pub food.",
The Good Stuff Diner,"109 W 14th St, New York, NY 10011",https://s3-media0.fl.yelpcdn.com/bphoto/VFFNqR1oAitETwX7EAMLRw/o.jpg,A retro-style diner brings round-the-clock sustenance to the West Village,
Le Pif Chelsea Restaurant & Wine Bar,"465 W 23rd St, New York, NY 10011",https://s3-media0.fl.yelpcdn.com/bphoto/q2FlnU-p4psSKR8XPsy8Qg/l.jpg,Authentic French Wine Bar in the Upper west Side,
Hanshik Korean Cuisine,"199 8th Ave, New York, NY 10011",https://s3-media0.fl.yelpcdn.com/bphoto/-949VueW31o_P2xn_Vw17Q/l.jpg,"""Korean Cuisine with a modern twist.""",
Rail Line Diner,"400 W 23rd St, New York, NY 10011",https://s3-media0.fl.yelpcdn.com/bphoto/2WpLmB2MeYm1mZgcskWkew/l.jpg,"Breakfast, burgers & everything in between are listed on the long menu at this 24/7 diner. ",
The Athenian,"224 E 10th St, New York, NY 10003",https://s3-media0.fl.yelpcdn.com/bphoto/Ju6EjU771cr4a67OLI_mdw/l.jpg,Contemporary spot focused on Mediterranean cooking with a selection of Greek wines. -,
Bali Kitchen,"128 E 4th St, New York, NY 10003",https://s3-media0.fl.yelpcdn.com/bphoto/kd0SFp0bW65db3dG5Q3LQQ/o.jpg,"Updated Indonesian fare with fruit drinks & teas offered in a relaxed, modern cafe setting.",
Baohaus,"238 E 14th St, New York, NY 10003",https://s3-media0.fl.yelpcdn.com/bphoto/c4kiPurmUZ5gI09jOeRJRA/o.jpg,Savory Taiwanese steamed buns are the specialty of this bare-bones East Village eatery.,
